X,Y,Z,Charge
17.391125134996,16.370238740088,13.406436501151,0.52
18.813636352829,16.636068447015,12.961811273068,0.52
17.989038803311,16.906051515648,13.062385528634,-1.04
12.207024315800,15.679520221021,25.187036426410,0
12.004735871959,15.975482845919,26.074570848296,0.52
11.978691504734,16.422508020074,24.628408555882,0.52
12.151899599782,15.812518410091,25.229140433199,-1.04
15.814079405541,15.610323452887,26.428976880729,0
15.195606453662,15.200714435142,27.033909521821,0.52
15.268620665474,15.940091854843,25.714862461439,0.52
15.665082106284,15.600102890799,26.415000295855,-1.04
14.491940711884,15.511148805169,11.940903501827,0
14.093202795812,14.852524308267,11.372173613171,0.52
14.096719339741,16.337944341972,11.664423760786,0.52
14.390304343975,15.532676727238,11.832706471879,-1.04
12.560169548013,13.990561533816,2.902919546509,0
13.405238419496,13.543992698987,2.851279270639,0.52
12.337197545307,13.975390655709,3.833663963817,0.52
12.639805452736,13.931453279729,3.015455482893,-1.04
14.442566859146,12.174652711869,8.302303736691,0
14.552726182647,11.295929396685,7.939065387009,0.52
13.588628389200,12.462451780531,7.979514911750,0.52
